Unnamed: 0,Name,Last,High,Low,Chg.,Chg. %,Vol.,Time,Unnamed: 9
,First Community,17.75,17.75,17.69,+0.09,+0.48%,2.84K,24/11,
,C&F Financial,60.35,60.35,59.7,+0.92,+1.55%,2.71K,24/11,
,First Bancorp Inc,24.97,24.97,24.5,+0.09,+0.36%,2.65K,24/11,
,Cumberland,1.724,1.724,1.61,+0.014,+0.82%,2.64K,24/11,
,First Business,34.05,34.28,34.05,-0.23,-0.67%,2.58K,24/11,
,ADDvantage,2.82,2.97,2.742,-0.290,-9.32%,2.55K,24/11,
,Antelope Enterprise Holdings,2.29,2.35,2.055,-0.020,-0.87%,2.42K,24/11,
,ATA,0.96,0.97,0.96,+0.087,+10.01%,2.33K,24/11,
,First United,18.38,18.38,18.06,+0.10,+0.55%,2.33K,24/11,
,Baijiayun,2.1,2.1,2.02,+0.080,+3.96%,2.21K,24/11,
,Oak Ridge,14.6,14.62,14.6,-0.40,-2.67%,2.20K,24/11,
,Greene County,24.66,24.69,24.41,+0.47,+1.94%,2.18K,24/11,
,CDTi Advanced Materials,0.66,0.66,0.65,-0.0200,-2.94%,2.13K,24/11,
,Diamond Hill,161.42,161.42,159.14,+1.35,+0.84%,2.11K,24/11,
,Eagle Montana,11.9,12.0,11.87,0.00,0.00%,2.07K,24/11,
,Arts-Way,2.0,2.0,1.98,-0.010,-0.50%,2.05K,24/11,
,Daily Journal Corp,336.9,336.9,327.0,+12.03,+3.70%,2.02K,24/11,
,Cyanotech,0.748,0.79,0.731,+0.017,+2.30%,2.01K,24/11,
,Astrotech,7.9,7.91,7.55,+0.1300,+1.67%,2.00K,24/11,
,Air T,16.62,16.96,16.3,-0.13,-0.78%,1.77K,24/11,
,LadRx,0.65,0.7,0.65,0.000,0.00%,1.74K,20/11,
,Flexsteel,16.81,17.34,16.81,-0.45,-2.61%,1.71K,24/11,
,Bridgford,10.57,10.57,10.51,+0.03,+0.28%,1.68K,24/11,
,Eastern Co,18.72,19.43,18.72,+0.06,+0.32%,1.63K,24/11,
,ASM ADR,504.01,508.01,501.69,+3.65,+0.73%,1.46K,24/11,
,Digital Ally,2.1,2.15,2.1,-0.0800,-3.67%,1.42K,24/11,
,Atlantic American,1.925,1.93,1.911,-0.005,-0.26%,1.41K,24/11,
,Dynatronics,0.5601,0.5601,0.5596,-0.0297,-5.04%,1.38K,24/11,
,Comstock,4.4,4.4,4.31,+0.050,+1.15%,1.34K,24/11,
,Bel Fuse A,54.98,55.3,54.0,+0.23,+0.42%,1.28K,24/11,
,CBB Bancorp,9.7,9.7,9.7,0.0000,0.00%,1.20K,24/11,
,Engie,16.9699,17.4,16.9699,+0.2799,+1.68%,1.06K,24/11,
,Fanhua,7.02,7.02,7.02,+0.14,+2.03%,1.03K,24/11,
,Stabilis Solutions,4.75,4.75,4.63,+0.280,+6.26%,1.02K,24/11,
,Electro-Sensors,3.89,3.98,3.75,+0.140,+3.73%,1.02K,24/11,
,Exceed Company,0.0,0.0,0.0,0.000,0.00%,1.00K,22/11,
,Elbit Imaging,1.05,1.05,1.05,+0.0000,+0.00%,1.00K,21/11,
,Viewtran,0.0,0.0,0.0,0.000,0.00%,0.99K,20/11,
,Mitsui & Company,730.42,750.12,710.1,+3.07,+0.42%,0.94K,24/11,
,Ark Restaurants,15.64,15.75,15.64,+0.39,+2.56%,0.94K,24/11,
,China Natural Resources,1.69,1.69,1.66,0.0000,0.00%,0.92K,24/11,
,Commercial National Financial,10.27,10.27,10.22,+0.05,+0.49%,0.83K,24/11,
,Donegal B,13.42,13.8,13.42,-0.38,-2.75%,0.77K,24/11,
,Euro Tech,1.46,1.46,1.41,0.000,0.00%,0.73K,24/11,
,First Savings,15.2,15.21,15.11,-0.10,-0.65%,0.59K,24/11,
,AstroNova,14.01,14.01,13.93,+0.04,+0.29%,0.56K,24/11,
,Asia Pacific Wire & Cable,1.44,1.46,1.34,+0.090,+6.67%,0.55K,24/11,
,Canterbury Park,18.88,18.88,18.37,+0.38,+2.05%,0.55K,24/11,
,UTStarcom,3.51,3.51,3.31,+0.0300,+0.86%,0.51K,24/11,
,El Paso Energy Capital Trust I,45.99,45.99,45.99,+0.12,+0.26%,0.41K,24/11,
,FalconStor,1.3,1.59,1.3,+0.020,+1.56%,0.40K,22/11,
,Rm2 International,0.451,0.451,0.451,+0.031,+7.38%,0.38K,24/11,
,Acorda,9.77,9.77,9.77,-0.030,-0.31%,0.36K,24/11,
,ASML Holding,690.9,704.0,681.6,+1.0,+0.14%,0.34K,24/11,
,Airnet Tech,0.6,0.6,0.59,-0.030,-4.76%,0.31K,24/11,
,Internet Initiative Japan ADR,34.59,34.59,34.59,+0.00,+0.00%,0.31K,20/11,
,Glen Burnie,5.38,5.38,5.15,+0.12,+2.28%,0.31K,24/11,
,FFD Financial Corp,27.76,27.76,27.76,-0.24,-0.86%,0.29K,22/11,
,WPF Holdings,16.0,16.0,15.4,+0.6,+3.90%,0.25K,22/11,
,Acura Pharma,0.0,0.0,0.0,0.000,0.00%,0.25K,22/11,
,Regis Resources,1.16,1.16,1.16,+0.00,+0.00%,0.20K,20/11,
,AmTrust Financial,13.9,13.9,13.9,+0.8,+6.11%,0.20K,22/11,
,Emmis Comm,4.87,4.87,4.87,+0.00,+0.00%,0.18K,20/11,
,Citizens,10.34,10.34,10.3,+0.09,+0.83%,0.16K,24/11,
,Bank of South Carolina,12.2,12.2,12.2,+0.00,+0.00%,0.15K,24/11,
,Auburn,20.32,20.64,20.32,+0.03,+0.15%,0.12K,24/11,
,Acorn,7.6,7.6,7.6,-0.1500,-1.94%,0.10K,24/11,
,Hong Kong TV Network,7.09,7.09,7.09,+0.250,+3.65%,0.10K,24/11,
,Steakholder Foods PK,0.001,0.001,0.001,0.0000,0.00%,0.10K,22/11,
,Formula Systems ADR,61.4,61.4,60.62,-0.15,-0.24%,0.09K,24/11,
,First Capital,25.87,25.87,25.87,+0.34,+1.33%,0.07K,24/11,
,Puma SE,60.4,60.4,60.4,+1.15,+1.94%,0.05K,22/11,
,Apollo Bancorp,36.75,36.75,36.75,+0.00,+0.00%,0,02/11,
,VMware,142.52,143.63,142.47,0.00,0.00%,0,21/11,
,Gruma SAB de CV,16.29,16.29,16.29,+0.00,+0.00%,0,08/11,
,Merriman,0.0002,0.0002,0.0002,0.0000,0.00%,0,11/10,
,Wacoal,109.4,111.0,108.89,0.00,0.00%,0,09/11,
,Yandex,18.94,24.05,17.83,0.00,0.00%,0,25/02,
,New Zealand Oil Gas,0.25,0.25,0.25,+0.000,+0.00%,0,21/09,
,Allied Healthcare,0.001,0.001,0.001,0.000,0.00%,0,12/10,
,Aixtron ADR,67.04,67.04,66.98,+0.00,+0.00%,0,22/11,
,Andatee China Marine,0.0,0.0,0.0,0.000,0.00%,0,31/08,
,American Caresource,0.0001,0.0001,0.0001,0.0000,0.00%,0,12/05,
,Anthera Pharma,0.0,0.0,0.0,0.000,0.00%,0,13/11,
,B Communications,3.5,3.5,3.5,0.000,0.00%,0,10/11,
,Bonso Electronics Int,0.909,0.909,0.909,0.000,0.00%,0,07/11,
,Bon-Ton Stores,0.0001,0.0001,0.0001,0.0000,0.00%,0,23/10,
,Biostar Pharma,0.0001,0.0001,0.0001,0.0000,0.00%,0,04/10,
,Burcon NutraScience,0.105,0.105,0.1045,0.0000,0.00%,0,21/11,
,Cache,0.0001,0.0001,0.0001,0.0000,0.00%,0,11/10,
,Cal Coast Industries,0.0,0.0,0.0,0.000,0.00%,0,25/09,
,Statera Biopharma,0.01,0.01,0.01,+0.000,+0.00%,0,03/11,
,CCUR Holdings,3050.0,3050.0,3050.0,0.000,0.00%,0,04/10,
,California First National,16.47,16.47,16.47,+0.00,+0.00%,0,14/11,
,China Techfaith,0.0,0.0,0.0,0.0000,0.00%,0,31/10,
,"RegenETP,",0.0091,0.0091,0.0091,+0.0000,+0.00%,0,22/11,
,Cyren,0.0001,0.0001,0.0001,0.0000,0.00%,0,30/10,
,Dynasil of America,2.6,2.6,2.6,0.000,0.00%,0,06/09,
,Education Management,0.0,0.0,0.0,0.00000,0.00%,0,03/08,
,First Bancshares,22.99,22.99,22.99,0.00,0.00%,0,13/11,
,Global Indemnity,33.31,34.99,33.3,+0.00,+0.00%,0,21/11,
,Ignite Nutra,0.0,0.0,0.0,0.000,0.00%,0,27/10,
,Gyrodyne of America,8.95,8.96,8.95,0.00,0.00%,0,22/11,
