Unnamed: 0,Name,Last,High,Low,Chg.,Chg. %,Vol.,Time,Unnamed: 9
,Crocs,94.59,94.86,93.39,+0.89,+0.95%,437.52K,24/11,
,Performance Shipping,2.3,2.36,2.12,+0.1800,+8.49%,437.37K,24/11,
,Akamai,113.65,113.84,112.93,+0.08,+0.07%,435.62K,24/11,
,Nucor,157.16,157.99,155.72,-0.24,-0.15%,434.99K,24/11,
,Lennar,127.63,128.01,126.77,+0.20,+0.16%,426.92K,24/11,
,Fortress Biotech,2.2,2.43,2.19,0.0000,0.00%,426.19K,24/11,
,Molson Coors Brewing B,59.99,60.25,59.88,-0.01,-0.02%,425.10K,24/11,
,Moody’s,362.38,364.96,361.22,-2.17,-0.60%,425.03K,24/11,
,Tupperware Brands,1.68,1.69,1.6407,+0.0100,+0.60%,421.93K,24/11,
,Edison,65.85,65.88,65.42,-0.05,-0.08%,419.24K,24/11,
,Tenet Healthcare,68.0,68.13,67.09,+0.27,+0.40%,417.26K,24/11,
,AvalonBay,173.37,173.37,171.53,+0.85,+0.49%,414.80K,24/11,
,Catalyst Pharmaceuticals,14.06,14.09,13.81,+0.200,+1.44%,413.46K,24/11,
,Nustar,18.66,18.82,18.43,+0.32,+1.74%,412.15K,24/11,
,Whirlpool,109.18,109.18,107.46,+0.27,+0.25%,412.12K,24/11,
,Cigna,287.85,290.78,287.33,-0.46,-0.16%,409.46K,24/11,
,Steel Dynamics,111.5,112.97,111.14,-1.20,-1.06%,406.65K,24/11,
,Principal Financial,72.65,72.89,72.16,+0.40,+0.55%,402.15K,24/11,
,Comerica,43.76,44.14,43.41,+0.13,+0.30%,400.45K,24/11,
,Darden Restaurants,156.01,157.25,155.37,-0.46,-0.29%,399.40K,24/11,
,Travelers,177.54,178.6,176.57,+1.46,+0.83%,399.20K,24/11,
,Air Products,274.5,276.65,274.5,+0.23,+0.08%,398.53K,24/11,
,Extreme,16.42,16.42,16.18,+0.04,+0.24%,398.49K,24/11,
,Biogen,231.95,232.47,229.37,+0.70,+0.30%,396.39K,24/11,
,Sarepta,82.87,84.23,82.28,-0.90,-1.07%,394.76K,24/11,
,Murphy Oil,43.02,43.39,42.28,+0.55,+1.29%,394.44K,24/11,
,S&P Global,415.02,415.9,412.76,-0.08,-0.02%,389.91K,24/11,
,Genuine Parts,137.4,138.41,137.4,-0.37,-0.27%,389.40K,24/11,
,Jabil Circuit,131.17,131.25,130.1,+0.67,+0.51%,389.21K,24/11,
,Omnicom,80.09,80.09,79.14,+0.73,+0.92%,387.47K,24/11,
,CH Robinson,82.51,82.74,81.86,-0.23,-0.28%,387.40K,24/11,
,Fluor,37.9,38.02,37.73,-0.03,-0.08%,386.89K,24/11,
,Ferroglobe,4.98,5.025,4.89,+0.040,+0.81%,386.56K,24/11,
,StealthGas,6.85,6.97,6.71,+0.160,+2.39%,386.15K,24/11,
,Iron Mountain,63.21,63.44,62.71,-0.08,-0.13%,385.44K,24/11,
,Stryker,293.64,295.16,292.8,-0.41,-0.14%,382.50K,24/11,
,Cytokinetics Inc,31.97,32.2,31.58,+0.06,+0.19%,380.34K,24/11,
,Quest Diagnostics,135.54,135.89,134.84,-0.21,-0.15%,379.40K,24/11,
,Masco,59.19,59.44,59.01,-0.09,-0.15%,377.63K,24/11,
,Magna Intl,54.73,55.08,54.23,+0.38,+0.70%,375.71K,24/11,
,Brookline Bancorp,9.42,9.5,9.28,+0.07,+0.75%,373.75K,24/11,
,Eastman Chemical,81.89,82.31,81.41,+0.46,+0.56%,373.70K,24/11,
,Newegg Commerce,0.97,0.99,0.95,+0.03,+2.97%,373.47K,24/11,
,Mizuho Financial ADR,3.44,3.45,3.42,-0.010,-0.29%,373.17K,24/11,
,Entergy,101.1,101.46,100.5,-0.09,-0.09%,372.14K,24/11,
,Coherent,36.17,36.39,35.85,+0.15,+0.42%,371.77K,24/11,
,Republic Services,160.4,160.41,159.23,+0.39,+0.24%,371.74K,24/11,
,Canadian Solar Inc,20.88,21.13,20.76,-0.10,-0.48%,369.74K,24/11,
,Fulton,14.13,14.18,14.0,+0.05,+0.36%,368.31K,24/11,
,Sherwin-Williams,275.83,276.81,274.85,+1.18,+0.43%,364.94K,24/11,
,Helmerich Payne,37.61,38.31,37.53,+0.08,+0.21%,364.82K,24/11,
,Travel + Leisure Co,37.42,37.9,37.25,-0.22,-0.58%,363.83K,24/11,
,Unisys,5.27,5.27,4.87,+0.41,+8.44%,362.99K,24/11,
,Aehr Test Systems,24.86,25.53,24.61,-0.620,-2.43%,360.34K,24/11,
,Site Centers,13.12,13.18,13.03,-0.03,-0.23%,359.54K,24/11,
,Capitol Federal,5.18,5.23,5.17,-0.01,-0.19%,358.85K,24/11,
,Sellas Life Sciences,1.05,1.08,1.0,+0.05,+5.00%,357.87K,24/11,
,Constellation Brands A,238.37,238.62,237.23,-0.67,-0.28%,357.38K,24/11,
,Leggett&Platt,23.34,23.41,23.11,+0.17,+0.73%,356.13K,24/11,
,PPG Industries,136.45,137.17,135.84,-0.19,-0.14%,355.91K,24/11,
,Cracker Barrel Old,78.34,79.0,77.34,+1.12,+1.45%,353.27K,24/11,
,F5 Networks,168.09,169.01,166.79,+1.02,+0.61%,349.61K,24/11,
,ATI Inc,44.14,44.24,43.6,+0.42,+0.96%,344.36K,24/11,
,Biomarin Pharma,88.19,89.37,88.14,-0.23,-0.26%,343.32K,24/11,
,Sony ADR,86.66,86.78,86.03,-0.93,-1.06%,342.18K,24/11,
,General Dynamics,247.83,248.55,247.44,+0.50,+0.20%,338.96K,24/11,
,CBRE A,79.01,79.02,77.97,+0.55,+0.70%,337.03K,24/11,
,Flowserve,38.2,38.31,37.82,+0.26,+0.69%,334.56K,24/11,
,Lockheed Martin,452.01,452.59,449.74,+1.61,+0.36%,326.13K,24/11,
,Carter’s,67.7,68.39,67.56,-0.44,-0.65%,325.84K,24/11,
,EXACT Sciences,65.99,66.44,65.16,+0.61,+0.93%,321.67K,24/11,
,Rockwell Automation,273.0,274.09,272.03,+0.20,+0.07%,315.33K,24/11,
,Discover,86.77,87.1,86.32,+0.30,+0.35%,314.56K,24/11,
,Jefferies Financial,35.06,35.22,34.92,+0.15,+0.43%,312.60K,24/11,
,Humana,518.26,520.79,514.45,+2.66,+0.52%,312.00K,24/11,
,IGT,27.17,27.36,26.99,+0.06,+0.22%,307.42K,24/11,
,Synovus,29.9,30.15,29.76,-0.03,-0.10%,306.53K,24/11,
,Arrowhead Pharma,29.12,29.7,28.77,+0.16,+0.55%,306.09K,24/11,
,Textron,78.39,78.52,78.01,+0.38,+0.49%,304.67K,24/11,
,Elevance Health,478.28,481.97,477.87,-1.69,-0.35%,303.73K,24/11,
,Ecolab,187.24,187.83,186.0,+0.59,+0.32%,299.44K,24/11,
,Public Storage,255.03,255.25,251.49,+0.31,+0.12%,297.76K,24/11,
,KLA Corp,555.64,557.22,551.47,+1.47,+0.27%,296.61K,24/11,
,FormFactor,38.02,38.37,37.6,+0.03,+0.08%,295.51K,24/11,
,Chart Industries,133.84,135.35,131.59,+1.09,+0.82%,294.99K,24/11,
,Lam Research,717.5,722.13,715.0,+0.04,+0.01%,294.18K,24/11,
